gene_name	cath_superfamily	pdb_id	chromosome	gene_id	genome_accessions
FOXRED2	3.50.50.60;		22	80020	{'Reference GRCh38.p14 Primary Assembly': '36487189:36507039', 'Alternate T2T-CHM13v2.0': '36947363:36967213'}
DNAI3	2.130.10.10;	8J07;	1	126820	{'Reference GRCh38.p14 Primary Assembly': '85062326:85133137', 'Alternate T2T-CHM13v2.0': '84902958:84973726'}
MGA	4.10.280.10;2.60.40.820;		15	23269	{'Reference GRCh38.p14 Primary Assembly': '41621223:41769939', 'Alternate T2T-CHM13v2.0': '39427378:39575821'}
GCC2	1.10.220.60;	3BBP;	2	9648	{'Reference GRCh38.p14 Primary Assembly': '108449205:108509414', 'Alternate T2T-CHM13v2.0': '108909825:108970092'}
ADGRA3	2.60.220.50;4.10.1240.10;2.60.40.10;1.20.1070.10;3.80.10.10;		4	166647	{'-': '4988:133678', 'Reference GRCh38.p14 Primary Assembly': '22387375:22516065', 'Alternate T2T-CHM13v2.0': '22369217:22497869'}
SFTPA2	3.10.100.10;		10	729238	{'-': '5000:9555', 'Reference GRCh38.p14 Primary Assembly': '79555851:79560406', 'Alternate T2T-CHM13v2.0': '80424985:80429540'}
SFTPA1	3.10.100.10;		10	653509	{'-': '5000:9504', 'Reference GRCh38.p14 Primary Assembly': '79610938:79615454', 'Alternate T2T-CHM13v2.0': '80480107:80484631'}
HSCB	1.10.287.110;1.20.1280.20;	3BVO;	22	150274	{'Reference GRCh38.p14 Primary Assembly': '28742031:28757509', 'Alternate T2T-CHM13v2.0': '29203666:29219143'}
RP1L1	3.10.20.230;		8	94137	{'-': '4964:53758', 'Reference GRCh38.p14 Primary Assembly': '10606348:10655142', 'Alternate T2T-CHM13v2.0': '9083815:9132786', 'Reference GRCh38.p14 PATCHES': '2691933:2740689'}
BRSK2	1.10.510.10;		11	9024	{'Reference GRCh38.p14 Primary Assembly': '1389933:1462688', 'Alternate T2T-CHM13v2.0': '1461200:1537120', 'Reference GRCh38.p14 PATCHES': '124199:196954'}
TRIM59	3.30.160.60;3.30.40.10;		3	286827	{'Reference GRCh38.p14 Primary Assembly': '160435502:160449785', 'Alternate T2T-CHM13v2.0': '163210116:163224399'}
PHF6	3.30.40.10;	4NN2;4R7A;	X	84295	{'-': '5000:60480', 'Reference GRCh38.p14 Primary Assembly': '134373311:134428789', 'Alternate T2T-CHM13v2.0': '132698462:132753939'}
ZBTB8OS	3.55.10.10;		1	339487	{'Reference GRCh38.p14 Primary Assembly': '32620819:32650931', 'Alternate T2T-CHM13v2.0': '32479595:32510711'}
SCN4B	2.60.40.10;	4MZ2;4MZ3;5XAW;6VSV;7DTD;	11	6330	{'-': '5000:24538', 'Reference GRCh38.p14 Primary Assembly': '118133376:118152822', 'Alternate T2T-CHM13v2.0': '118149763:118169226'}
CUL9	1.20.120.1750;2.30.30.30;2.60.120.260;1.25.10.10;1.10.10.10;3.30.40.10;	2JUF;	6	23113	{'Reference GRCh38.p14 Primary Assembly': '43182195:43224586', 'Alternate T2T-CHM13v2.0': '43010968:43053381'}
LRRC8A	3.80.10.10;	5ZSU;6DJB;7XZH;8DXN;8DXO;8DXP;8DXQ;8DXR;	9	56262	{'-': '5000:40927', 'Reference GRCh38.p14 Primary Assembly': '128882132:128918038', 'Alternate T2T-CHM13v2.0': '141086879:141122793'}
LMTK2	1.10.510.10;		7	22853	{'-': '4977:107753', 'Reference GRCh38.p14 Primary Assembly': '98106861:98209637', 'Alternate T2T-CHM13v2.0': '99335936:99439777'}
SLC30A8	1.20.1510.10;	6XPD;6XPE;6XPF;	8	169026	{'-': '189722:231441', 'Reference GRCh38.p14 Primary Assembly': '116950216:117176713', 'Alternate T2T-CHM13v2.0': '118078387:118305141'}
SULF2	3.40.720.10;		20	55959	{'Reference GRCh38.p14 Primary Assembly': '47657405:47786626', 'Alternate T2T-CHM13v2.0': '49395800:49525733'}
SULF1	3.40.720.10;		8	23213	{'-': '31223:199288', 'Reference GRCh38.p14 Primary Assembly': '69466780:69660911', 'Alternate T2T-CHM13v2.0': '69896603:70090565'}
TPH2	1.10.800.10;	4V06;7QRI;7WIY;	12	121278	{'-': '4999:98594', 'Reference GRCh38.p14 Primary Assembly': '71938844:72032439', 'Alternate T2T-CHM13v2.0': '71916322:72008337'}
CNTN4	2.60.40.10;		3	152330	{'-': '3303:962396', 'Reference GRCh38.p14 Primary Assembly': '2098865:3057958', 'Alternate T2T-CHM13v2.0': '2092771:3052282'}
UBR1	2.10.110.30;3.30.1390.10;1.10.10.2670;	3NY1;5TDC;	15	197131	{'-': '5050:168191', 'Reference GRCh38.p14 Primary Assembly': '42942896:43106037', 'Alternate T2T-CHM13v2.0': '40750008:40913325'}
UBR2	2.10.110.30;3.30.1390.10;1.10.10.2670;	3NY2;3NY3;5TDA;5TDB;5TDD;5UM3;	6	23304	{'Reference GRCh38.p14 Primary Assembly': '42564028:42693504', 'Alternate T2T-CHM13v2.0': '42392485:42521934'}
ARHGAP12	2.20.70.10;2.30.29.30;1.10.555.10;2.30.30.40;		10	94134	{'Reference GRCh38.p14 Primary Assembly': '31805397:31928875', 'Alternate T2T-CHM13v2.0': '31836816:31960264'}
ADHFE1	3.40.50.1970;1.20.1090.10;		8	137872	{'Reference GRCh38.p14 Primary Assembly': '66432503:66468906', 'Alternate T2T-CHM13v2.0': '66858073:66894462'}
SGPP2	1.20.144.10;		2	130367	{'Reference GRCh38.p14 Primary Assembly': '222423987:222562620', 'Alternate T2T-CHM13v2.0': '222909190:223047955'}
UNC45B	1.25.10.10;1.25.40.10;		17	146862	{'-': '5000:46526', 'Reference GRCh38.p14 Primary Assembly': '35147816:35189344', 'Alternate T2T-CHM13v2.0': '36095725:36137279'}
CHERP	1.25.40.90;1.10.10.790;		19	10523	{'Reference GRCh38.p14 Primary Assembly': '16517893:16542436', 'Alternate T2T-CHM13v2.0': '16652682:16677226', '-': '90767:115310'}
SCUBE1	2.10.25.10;2.60.120.290;2.10.50.10;		22	80274	{'-': '5016:151108', 'Reference GRCh38.p14 Primary Assembly': '43197279:43343371', 'Alternate T2T-CHM13v2.0': '43678147:43824407'}
ANKHD1	1.25.40.20;3.30.1370.10;		5	54882	{'Reference GRCh38.p14 Primary Assembly': '140401832:140539848', 'Alternate T2T-CHM13v2.0': '140927266:141065279'}
TRIM48	3.30.160.60;3.30.40.10;		11	79097	{'Reference GRCh38.p14 Primary Assembly': '55262154:55271113', 'Alternate T2T-CHM13v2.0': '55199726:55208687'}
TRIM42	4.10.830.40;3.30.160.60;2.60.40.10;		3	287015	{'Reference GRCh38.p14 Primary Assembly': '140678063:140701149', 'Alternate T2T-CHM13v2.0': '143425370:143448460'}
BBS7	2.130.10.10;		4	55212	{'-': '5013:51158', 'Reference GRCh38.p14 Primary Assembly': '121824328:121870473', 'Alternate T2T-CHM13v2.0': '125128380:125174521'}
SUGP1	1.10.10.790;	8EJM;8GXL;8GXM;	19	57794	{'Reference GRCh38.p14 Primary Assembly': '19276032:19320508', 'Alternate T2T-CHM13v2.0': '19413484:19457964'}
SUGP2	1.10.10.790;	1X4P;	19	10147	{'Reference GRCh38.p14 Primary Assembly': '18990886:19033843', 'Alternate T2T-CHM13v2.0': '19126689:19169637'}
WWC1	2.20.70.10;2.60.40.150;	2Z0U;6FB4;6FD0;6FJC;6FJD;	5	23286	{'-': '4585:185243', 'Reference GRCh38.p14 Primary Assembly': '168291644:168472302', 'Alternate T2T-CHM13v2.0': '168826514:169007093'}
UEVLD	3.90.110.10;3.40.50.720;3.10.110.10;	2I6T;3DL2;	11	55293	{'Reference GRCh38.p14 Primary Assembly': '18529608:18588733', 'Alternate T2T-CHM13v2.0': '18627651:18686812'}
CD302	3.10.100.10;	2NAN;	2	9936	{'Reference GRCh38.p14 Primary Assembly': '159768627:159798207', 'Alternate T2T-CHM13v2.0': '160225995:160255549'}
ZFPM1	3.30.160.60;	2XU7;	16	161882	{'Reference GRCh38.p14 Primary Assembly': '88451768:88537030', 'Alternate T2T-CHM13v2.0': '94519762:94605070'}
CCAR1	2.40.50.140;1.10.720.30;		10	55749	{'Reference GRCh38.p14 Primary Assembly': '68721238:68792376', 'Alternate T2T-CHM13v2.0': '69590456:69661543'}
HOMEZ	1.10.10.60;	2ECC;2YS9;	14	57594	{'Reference GRCh38.p14 Primary Assembly': '23272421:23286131', 'Alternate T2T-CHM13v2.0': '17473400:17487129'}
SCUBE3	2.10.25.10;2.60.120.290;2.10.50.10;		6	222663	{'-': '4909:44032', 'Reference GRCh38.p14 Primary Assembly': '35213955:35253078', 'Alternate T2T-CHM13v2.0': '35037033:35076158'}
SKA3	6.10.250.1400;	4AJ5;	13	221150	{'Reference GRCh38.p14 Primary Assembly': '21153594:21176551', 'Alternate T2T-CHM13v2.0': '20346667:20369631'}
SPACA3	1.10.530.10;		17	124912	{'Reference GRCh38.p14 Primary Assembly': '32991846:32997876', 'Alternate T2T-CHM13v2.0': '33937911:33943947'}
DNAJC10	1.10.287.110;3.40.30.10;		2	54431	{'Reference GRCh38.p14 Primary Assembly': '182716256:182794463', 'Alternate T2T-CHM13v2.0': '183205192:183283429'}
NPAS3	4.10.280.10;3.30.450.20;		14	64067	{'-': '4626:869920', 'Reference GRCh38.p14 Primary Assembly': '32934784:33804172', 'Alternate T2T-CHM13v2.0': '27131684:28001532'}
CDH26	2.60.40.60;		20	60437	{'Reference GRCh38.p14 Primary Assembly': '59958422:60035933', 'Alternate T2T-CHM13v2.0': '61742678:61822260'}
RHOT2	1.10.238.10;3.40.50.300;	5KUT;	16	89941	{'-': '5049:11088', 'Reference GRCh38.p14 Primary Assembly': '668082:674173', 'Alternate T2T-CHM13v2.0': '672157:678248'}
RHOT1	1.10.238.10;3.40.50.300;	5KSO;5KSP;5KSY;5KSZ;5KTY;5KU1;6D71;	17	55288	{'Reference GRCh38.p14 Primary Assembly': '32142501:32225726', 'Alternate T2T-CHM13v2.0': '33088265:33171496'}
SIRT2	3.30.1600.10;3.40.50.1220;	1J8F;3ZGO;3ZGV;4L3O;4R8M;4RMG;4RMH;4RMI;4RMJ;4X3O;4X3P;4Y6L;4Y6O;4Y6Q;5D7O;5D7P;5D7Q;5DY4;5DY5;5FYQ;5G4C;5MAR;5MAT;5Y0Z;5Y5N;5YQL;5YQM;5YQN;5YQO;6L65;6L66;6L71;6L72;6NR0;6QCN;7BOS;7BOT;8OWZ;	19	22933	{'Reference GRCh38.p14 Primary Assembly': '38878554:38899617', 'Alternate T2T-CHM13v2.0': '41682610:41703672', 'Reference GRCh38.p14 PATCHES': '288226:309289'}
PHC2	3.30.60.160;1.10.150.50;		1	1912	{'Reference GRCh38.p14 Primary Assembly': '33323625:33431094', 'Alternate T2T-CHM13v2.0': '33185233:33292696'}
GALNT12	2.80.10.50;	6PXU;	9	79695	{'-': '4971:47382', 'Reference GRCh38.p14 Primary Assembly': '98807669:98850080', 'Alternate T2T-CHM13v2.0': '110979351:111021779'}
MSRB3	2.170.150.20;	6QA0;	12	253827	{'-': '5040:193264', 'Reference GRCh38.p14 Primary Assembly': '65278682:65466906', 'Alternate T2T-CHM13v2.0': '65257706:65446354'}
BAP18	1.20.58.1880;				
RIMKLA	3.40.50.20;3.30.1490.20;3.30.470.20;		1	284716	{'Reference GRCh38.p14 Primary Assembly': '42380791:42424231', 'Alternate T2T-CHM13v2.0': '42251174:42294607'}
KLHL7	1.25.40.420;2.120.10.80;	3II7;	7	55975	{'-': '5001:77130', 'Reference GRCh38.p14 Primary Assembly': '23105784:23177913', 'Alternate T2T-CHM13v2.0': '23242310:23314437'}
PARP9	3.90.228.10;3.40.220.10;	5AIL;	3	83666	{'Reference GRCh38.p14 Primary Assembly': '122527923:122564783', 'Alternate T2T-CHM13v2.0': '125247221:125284029'}
ETFBKMT	3.40.50.150;		12	254013	{'Reference GRCh38.p14 Primary Assembly': '31647159:31673113', 'Alternate T2T-CHM13v2.0': '31523670:31549943'}
KLHDC8B	2.120.10.80;		3	200942	{'-': '5013:9901', 'Reference GRCh38.p14 Primary Assembly': '49171597:49176485', 'Alternate T2T-CHM13v2.0': '49194509:49204553'}
LMNTD2	2.60.40.1260;		11	256329	{'Reference GRCh38.p14 Primary Assembly': '554849:560737', 'Alternate T2T-CHM13v2.0': '601834:607741', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '84489:90392'}
RPAP2	1.25.40.820;	7B7U;7F4G;	1	79871	{'Reference GRCh38.p14 Primary Assembly': '92299058:92402055', 'Alternate T2T-CHM13v2.0': '92143967:92246942'}
ZC3H3	3.30.1370.210;4.10.1000.10;		8	23144	{'Reference GRCh38.p14 Primary Assembly': '143437658:143541446', 'Alternate T2T-CHM13v2.0': '144587222:144699074', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '5374:31486'}
PNPLA6	3.40.1090.10;2.60.120.10;		19	10908	{'-': '6565:32612', 'Reference GRCh38.p14 Primary Assembly': '7534163:7561766', 'Alternate T2T-CHM13v2.0': '7534897:7562498'}
SMC5	3.40.50.300;		9	23137	{'Reference GRCh38.p14 Primary Assembly': '70258977:70354872', 'Alternate T2T-CHM13v2.0': '82425825:82521668'}
DDX60	3.40.50.300;		4	55601	{'-': '12226:114684', 'Reference GRCh38.p14 Primary Assembly': '168216293:168325978', 'Alternate T2T-CHM13v2.0': '171575325:171684982'}
CMIP	3.80.10.10;		16	80790	{'-': '4638:271592', 'Reference GRCh38.p14 Primary Assembly': '81444807:81711761', 'Alternate T2T-CHM13v2.0': '87505642:87774005'}
PLPP6	1.20.144.10;		9	403313	{'Reference GRCh38.p14 Primary Assembly': '4662293:4665257', 'Alternate T2T-CHM13v2.0': '4665967:4668931'}
MICALL2	1.10.418.10;2.10.110.10;		7	79778	{'Reference GRCh38.p14 Primary Assembly': '1434358:1459469', 'Alternate T2T-CHM13v2.0': '1545545:1571602'}
SLC15A3	1.20.1250.20;	8WX2;	11	51296	{'Reference GRCh38.p14 Primary Assembly': '60937083:60952175', 'Alternate T2T-CHM13v2.0': '60888230:60903305'}
DHX37	1.20.120.1080;3.40.50.300;	7MQA;	12	57647	{'Reference GRCh38.p14 Primary Assembly': '124946825:124989130', 'Alternate T2T-CHM13v2.0': '124952034:124994325'}
YAF2	4.10.1060.10;	2D9G;	12	10138	{'Reference GRCh38.p14 Primary Assembly': '42157103:42238247', 'Alternate T2T-CHM13v2.0': '42115008:42196194'}
FTSJ3	3.40.50.150;	8FKP;8FKQ;8FKR;8FKS;8FKT;8FKU;8FKV;8FKW;8FKX;8FKY;8IR1;	17	117246	{'Reference GRCh38.p14 Primary Assembly': '63819432:63827662', 'Alternate T2T-CHM13v2.0': '64690279:64698512'}
NIM1K	1.10.510.10;		5	167359	{'Reference GRCh38.p14 Primary Assembly': '43192224:43280849', 'Alternate T2T-CHM13v2.0': '43445119:43533684'}
MB21D2	1.10.1410.40;3.30.460.90;	7LT1;	3	151963	{'Reference GRCh38.p14 Primary Assembly': '192796814:192917855', 'Alternate T2T-CHM13v2.0': '195492751:195613820'}
SRRM1	1.20.1390.10;	1MP1;6FF4;6FF7;7ABG;7ABH;7ABI;7DVQ;	1	10250	{'Reference GRCh38.p14 Primary Assembly': '24643301:24673280', 'Alternate T2T-CHM13v2.0': '24481713:24511710'}
PEX5L	1.25.40.10;		3	51555	{'Reference GRCh38.p14 Primary Assembly': '179794957:180036936', 'Alternate T2T-CHM13v2.0': '182598482:182840048'}
SMAP1	1.10.220.150;	2CRR;	6	60682	{'Reference GRCh38.p14 Primary Assembly': '70667882:70862014', 'Alternate T2T-CHM13v2.0': '71848458:72042552'}
DIS3L2	2.40.50.690;2.40.50.700;2.40.50.140;	8E27;8E28;8E29;8E2A;	2	129563	{'-': '5000:387385', 'Reference GRCh38.p14 Primary Assembly': '231961712:232344349', 'Alternate T2T-CHM13v2.0': '232448341:232831054'}
SUPV3L1	1.10.1740.140;1.20.272.40;1.20.58.1080;3.40.50.300;	3RC3;3RC8;7W1R;	10	6832	{'Reference GRCh38.p14 Primary Assembly': '69180233:69209092', 'Alternate T2T-CHM13v2.0': '70048570:70077443'}
GSPT2	3.40.50.300;2.40.30.10;	3KUJ;	X	23708	{'-': '5057:7847', 'Reference GRCh38.p14 Primary Assembly': '51743441:51746231', 'Alternate T2T-CHM13v2.0': '51015098:51017888'}
FANCM	3.40.50.10130;1.10.150.20;1.20.1320.20;3.40.50.300;	4BXO;4DAY;4DRB;4E45;4M6W;	14	57697	{'-': '5000:69957', 'Reference GRCh38.p14 Primary Assembly': '45135929:45200889', 'Alternate T2T-CHM13v2.0': '39327941:39392897'}
ELOA2	6.10.250.3180;1.20.930.10;		18	51224	{'-': '4996:8090', 'Reference GRCh38.p14 Primary Assembly': '47032526:47035620', 'Alternate T2T-CHM13v2.0': '47222797:47225891'}
TEX11	1.25.40.10;		X	56159	{'-': '4999:384770', 'Reference GRCh38.p14 Primary Assembly': '70511226:70908710', 'Alternate T2T-CHM13v2.0': '68944547:69342010'}
LRRC56	3.80.10.10;		11	115399	{'Reference GRCh38.p14 Primary Assembly': '506461:554911', 'Alternate T2T-CHM13v2.0': '584504:601896', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '48616:84551'}
ZZZ3	3.30.60.90;1.10.10.60;	2FC7;2YUM;6E83;6E86;	1	26009	{'Reference GRCh38.p14 Primary Assembly': '77562415:77683397', 'Alternate T2T-CHM13v2.0': '77401274:77522227'}
EXOC8	1.20.58.1220;1.20.58.1210;2.30.29.30;		1	149371	{'-': '5020:10119', 'Reference GRCh38.p14 Primary Assembly': '231332752:231337851', 'Alternate T2T-CHM13v2.0': '230716002:230721101'}
ZNF440	6.10.140.140;3.30.160.60;		19	126070	{'Reference GRCh38.p14 Primary Assembly': '11814272:11835215', 'Alternate T2T-CHM13v2.0': '11942471:11963417'}
CPNE9	2.60.40.150;		3	151835	{'Reference GRCh38.p14 Primary Assembly': '9703832:9729907', 'Alternate T2T-CHM13v2.0': '9695787:9721865'}
SYTL1	6.10.250.3000;2.60.40.150;		1	84958	{'Reference GRCh38.p14 Primary Assembly': '27342021:27353931', 'Alternate T2T-CHM13v2.0': '27183257:27195170'}
GPR65	1.20.1070.10;		14	8477	{'Reference GRCh38.p14 Primary Assembly': '88005134:88014810', 'Alternate T2T-CHM13v2.0': '82225762:82235438'}
SEPTIN12	3.40.50.300;	6MQ9;6MQB;6MQK;6MQL;	16	124404	{'-': '5176:15915', 'Reference GRCh38.p14 Primary Assembly': '4777605:4791827', 'Alternate T2T-CHM13v2.0': '4807060:4821314'}
SLFN12	3.30.950.30;	7EG0;7EG1;7EG4;7LRC;7LRD;7LRE;	17	55106	{'Reference GRCh38.p14 Primary Assembly': '35410921:35433173', 'Alternate T2T-CHM13v2.0': '36351810:36381710'}
TRIM22	2.60.120.920;3.30.160.60;3.30.40.10;		11	10346	{'Reference GRCh38.p14 Primary Assembly': '5689789:5710862', 'Alternate T2T-CHM13v2.0': '5747639:5768713'}
SMYD4	6.10.140.2220;2.170.270.10;1.25.40.10;		17	114826	{'Reference GRCh38.p14 Primary Assembly': '1779484:1829901', 'Alternate T2T-CHM13v2.0': '1668184:1718626'}
TMEFF1	3.30.60.30;2.10.25.10;		9	8577	{'Reference GRCh38.p14 Primary Assembly': '100473148:100577635', 'Alternate T2T-CHM13v2.0': '112644808:112749337'}
PM20D2	3.30.70.360;3.40.630.10;	7YH4;	6	135293	{'Reference GRCh38.p14 Primary Assembly': '89093939:89165564', 'Alternate T2T-CHM13v2.0': '90329917:90374227'}
OSCAR	2.60.40.10;	5CJ8;5CJB;5EIQ;5EIV;	19	126014	{'Reference GRCh38.p14 Primary Assembly': '54094667:54100802', 'Alternate T2T-CHM13v2.0': '57173229:57179491', 'Reference GRCh38.p14 ALT_REF_LOCI_9': '69045:75206', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '69045:75206', 'Reference GRCh38.p14 ALT_REF_LOCI_2': '69045:75206', 'Reference GRCh38.p14 ALT_REF_LOCI_3': '69045:75206', 'Reference GRCh38.p14 ALT_REF_LOCI_4': '69045:75206', 'Reference GRCh38.p14 ALT_REF_LOCI_5': '69045:75206', 'Reference GRCh38.p14 ALT_REF_LOCI_6': '69045:75206', 'Reference GRCh38.p14 ALT_REF_LOCI_7': '69045:75206', 'Reference GRCh38.p14 ALT_REF_LOCI_8': '69045:75206'}
CMTR2	3.40.50.12760;		16	55783	{'Reference GRCh38.p14 Primary Assembly': '71281391:71289721', 'Alternate T2T-CHM13v2.0': '77092513:77100844', 'Reference GRCh38.p14 PATCHES': '144071:152419'}
KATNAL2	1.10.8.60;3.40.50.300;		18	83473	{'Reference GRCh38.p14 Primary Assembly': '46917593:47102242', 'Alternate T2T-CHM13v2.0': '47108257:47292539'}
ULK2	1.10.510.10;	6QAT;6QAU;6QAV;6YID;	17	9706	{'-': '4990:102096', 'Reference GRCh38.p14 Primary Assembly': '19770829:19867935', 'Alternate T2T-CHM13v2.0': '19719467:19816590'}
HACE1	1.25.40.20;3.30.2160.10;3.30.2410.10;3.90.1750.10;	8H8X;8HAE;	6	57531	{'-': '5000:136825', 'Reference GRCh38.p14 Primary Assembly': '104728093:104859918', 'Alternate T2T-CHM13v2.0': '105904366:106035940'}
MICU2	1.10.238.10;	6AGH;6IIH;6K7Y;6LB7;6LB8;6LE5;6WDN;6WDO;6XJV;6XJX;6XQN;6XQO;	13	221154	{'Reference GRCh38.p14 Primary Assembly': '21492690:21604169', 'Alternate T2T-CHM13v2.0': '20687025:20798492'}
IZUMO1	2.60.40.10;	5F4E;5F4T;5F4V;5JK9;5JKC;5JKD;5JKE;	19	284359	{'Reference GRCh38.p14 Primary Assembly': '48740851:48746908', 'Alternate T2T-CHM13v2.0': '51735270:51741329'}
RNF168	3.30.40.10;	3L11;4GB0;5XIS;5XIT;5XIU;5YDK;	3	165918	{'-': '5000:39985', 'Reference GRCh38.p14 Primary Assembly': '196468782:196503767', 'Alternate T2T-CHM13v2.0': '199187975:199222946'}
TBC1D21	1.10.8.270;1.10.472.80;		15	161514	{'Reference GRCh38.p14 Primary Assembly': '73873563:73910023', 'Alternate T2T-CHM13v2.0': '71690892:71727351'}
CEP57L1	1.20.58.90;		6	285753	{'Reference GRCh38.p14 Primary Assembly': '109095162:109174417', 'Alternate T2T-CHM13v2.0': '110273269:110352464'}
ANKRD13A	1.25.40.20;		12	88455	{'Reference GRCh38.p14 Primary Assembly': '109999212:110039762', 'Alternate T2T-CHM13v2.0': '109974901:110015455'}
ZNF683	3.30.160.60;		1	257101	{'Reference GRCh38.p14 Primary Assembly': '26361633:26374517', 'Alternate T2T-CHM13v2.0': '26199080:26211982'}
PHACTR4	6.10.140.1750;6.10.140.2130;		1	65979	{'Reference GRCh38.p14 Primary Assembly': '28369739:28500363', 'Alternate T2T-CHM13v2.0': '28211572:28342319'}
RASEF	1.10.287.1490;1.10.238.10;3.40.50.300;	2P5S;2PMY;	9	158158	{'Reference GRCh38.p14 Primary Assembly': '82979589:83219223', 'Alternate T2T-CHM13v2.0': '95129180:95212706'}
CHPF	3.90.550.50;		2	79586	{'Reference GRCh38.p14 Primary Assembly': '219538953:219543808', 'Alternate T2T-CHM13v2.0': '220023652:220028507'}
TRMT2A	2.40.50.1070;3.30.70.330;3.40.50.150;	7NTN;7NTO;	22	27037	{'Reference GRCh38.p14 Primary Assembly': '20111874:20117225', 'Alternate T2T-CHM13v2.0': '20490924:20496275'}
KIAA0319L	2.60.40.10;	2YRL;6IHB;6JCQ;6JCS;6NZ0;7KPN;7TI5;7WJX;7WQP;	1	79932	{'Reference GRCh38.p14 Primary Assembly': '35433491:35557660', 'Alternate T2T-CHM13v2.0': '35296548:35420729'}
H1-8	1.10.10.10;		3	132243	{'Reference GRCh38.p14 Primary Assembly': '129543174:129551466', 'Alternate T2T-CHM13v2.0': '132287584:132295893'}
RTKN2	2.30.29.30;		10	219790	{'Reference GRCh38.p14 Primary Assembly': '62183899:62268843', 'Alternate T2T-CHM13v2.0': '63049730:63125460'}
COL27A1	2.60.120.1000;2.60.120.200;		9	85301	{'-': '4992:161966', 'Reference GRCh38.p14 Primary Assembly': '114154097:114312510', 'Alternate T2T-CHM13v2.0': '126352718:126511654'}
ZNF101	6.10.140.140;3.30.160.60;		19	94039	{'Reference GRCh38.p14 Primary Assembly': '19668152:19683505', 'Alternate T2T-CHM13v2.0': '19805663:19821014'}
KMT2E	2.170.270.10;3.30.40.10;	2LV9;4L58;5HT6;	7	55904	{'-': '5015:105829', 'Reference GRCh38.p14 Primary Assembly': '105014204:105115018', 'Alternate T2T-CHM13v2.0': '106328911:106429703'}
DCP1B	6.10.140.2030;2.30.29.30;		12	196513	{'Reference GRCh38.p14 Primary Assembly': '1941590:2004456', 'Alternate T2T-CHM13v2.0': '1937704:2000584', 'Reference GRCh38.p14 PATCHES': '283734:346600'}
SLC22A15	1.20.1250.20;		1	55356	{'Reference GRCh38.p14 Primary Assembly': '115976512:116070053', 'Alternate T2T-CHM13v2.0': '115984503:116078026'}
DOCK3	1.20.58.740;1.25.40.410;2.60.40.150;1.20.1270.350;2.30.30.40;		3	1795	{'-': '4686:713957', 'Reference GRCh38.p14 Primary Assembly': '50674926:51384197', 'Alternate T2T-CHM13v2.0': '50704904:51414617'}
SCYL3	1.25.10.10;1.10.510.10;		1	57147	{'Reference GRCh38.p14 Primary Assembly': '169849630:169894267', 'Alternate T2T-CHM13v2.0': '169205380:169249992'}
NALCN	1.10.287.70;1.10.238.10;1.20.120.350;	6XIW;7CM3;7SX3;7SX4;7WJI;	13	259232	{'-': '5698:368430', 'Reference GRCh38.p14 Primary Assembly': '101053775:101417178', 'Alternate T2T-CHM13v2.0': '100268891:100632421'}
ADGRF5	2.60.220.50;2.60.40.10;1.20.1070.10;3.30.70.960;		6	221395	{'Reference GRCh38.p14 Primary Assembly': '46852521:46954938', 'Alternate T2T-CHM13v2.0': '46689995:46792403'}
ADGRF4	2.60.220.50;1.20.1070.10;		6	221393	{'-': '17681:41157', 'Reference GRCh38.p14 Primary Assembly': '47698579:47722013', 'Alternate T2T-CHM13v2.0': '47540366:47563796'}
ADGRG4	2.60.120.200;2.60.220.50;4.10.1240.10;1.20.1070.10;	7WUJ;8B55;	X	139378	{'-': '5000:120927', 'Reference GRCh38.p14 Primary Assembly': '136300962:136416889', 'Alternate T2T-CHM13v2.0': '134609301:134725269'}
ADGRF2P	2.60.220.50;1.20.1070.10;				
XRN1	1.25.40.1050;2.170.260.40;2.30.30.750;3.40.50.12390;		3	54464	{'Reference GRCh38.p14 Primary Assembly': '142306609:142448036', 'Alternate T2T-CHM13v2.0': '145053902:145195320'}
IFNL3	1.20.1250.60;	3HHC;5T5W;	19	282617	{'-': '4721:6516', 'Reference GRCh38.p14 Primary Assembly': '39243454:39245249', 'Alternate T2T-CHM13v2.0': '42047719:42049514', 'Reference GRCh38.p14 PATCHES': '23837:25632'}
UNC5B	2.60.220.30;1.10.533.10;2.60.40.10;2.20.100.10;		10	219699	{'Reference GRCh38.p14 Primary Assembly': '71212569:71302863', 'Alternate T2T-CHM13v2.0': '72082199:72172411'}
CPAMD8	1.50.10.20;2.20.130.20;2.60.120.1540;2.60.40.1930;2.60.40.1940;3.30.60.30;6.20.50.160;2.60.40.690;2.60.40.10;		19	27151	{'-': '5008:138867', 'Reference GRCh38.p14 Primary Assembly': '16892950:17026809', 'Alternate T2T-CHM13v2.0': '17027787:17161725'}
MCOLN2	1.10.287.70;	6HRR;6HRS;	1	255231	{'Reference GRCh38.p14 Primary Assembly': '84925582:84997112', 'Alternate T2T-CHM13v2.0': '84766209:84837785'}
MAML2	6.10.250.970;		11	84441	{'Reference GRCh38.p14 Primary Assembly': '95976597:96343194', 'Alternate T2T-CHM13v2.0': '95983994:96349197'}
