Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene3D	PDB
Q13952	reviewed	NFYC_HUMAN	Nuclear transcription factor Y subunit gamma (CAAT box DNA-binding protein subunit C) (Nuclear transcription factor Y subunit C) (NF-YC) (Transactivator HSM-1/2)	NFYC	Homo sapiens (Human)	458	1.10.20.10;	1N1J;4AWL;4CSR;6QMP;6QMQ;6QMS;7AH8;
Q13956	reviewed	CNCG_HUMAN	Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma (GMP-PDE gamma) (EC 3.1.4.35)	PDE6H	Homo sapiens (Human)	83	4.10.1120.10;	
Q13972	reviewed	RGRF1_HUMAN	Ras-specific guanine nucleotide-releasing factor 1 (Ras-GRF1) (Guanine nucleotide-releasing protein) (GNRP) (Ras-specific nucleotide exchange factor CDC25)	RASGRF1 CDC25 GNRP GRF1	Homo sapiens (Human)	1273	1.20.900.10;2.30.29.30;1.10.840.10;1.20.870.10;	
Q13976	reviewed	KGP1_HUMAN	cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI)	PRKG1 PRKG1B PRKGR1A PRKGR1B	Homo sapiens (Human)	671	2.60.120.10;1.20.5.490;1.10.510.10;	1ZXA;3NMD;3OCP;3OD0;3OGJ;4KU7;4KU8;4QX5;4QXK;4R4L;4R4M;4Z07;5J48;5JAX;5JD7;5L0N;6BDL;6BG2;6C0T;7LV3;7MBJ;7SSB;7T4T;7T4U;7T4V;7T4W;
Q14002	reviewed	CEAM7_HUMAN	Carcinoembryonic antigen-related cell adhesion molecule 7 (CEA cell adhesion molecule 7) (Carcinoembryonic antigen CGM2)	CEACAM7 CGM2	Homo sapiens (Human)	265	2.60.40.10;	4Y89;
Q14003	reviewed	KCNC3_HUMAN	Potassium voltage-gated channel subfamily C member 3 (KSHIIID) (Voltage-gated potassium channel subunit Kv3.3)	KCNC3	Homo sapiens (Human)	757	1.10.287.70;1.20.120.350;	
Q14004	reviewed	CDK13_HUMAN	Cyclin-dependent kinase 13 (EC 2.7.11.22) (EC 2.7.11.23) (CDC2-related protein kinase 5) (Cell division cycle 2-like protein kinase 5) (Cell division protein kinase 13) (hCDK13) (Cholinesterase-related cell division controller)	CDK13 CDC2L CDC2L5 CHED KIAA1791	Homo sapiens (Human)	1512	1.10.510.10;	5EFQ;7NXJ;
Q14005	reviewed	IL16_HUMAN	Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)]	IL16	Homo sapiens (Human)	1332	2.30.42.10;	1I16;1X6D;5FB8;
Q14008	reviewed	CKAP5_HUMAN	Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG)	CKAP5 KIAA0097	Homo sapiens (Human)	2032	1.25.10.10;	4QMI;4QMJ;
Q14011	reviewed	CIRBP_HUMAN	Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP)	CIRBP A18HNRNP CIRP	Homo sapiens (Human)	172	3.30.70.330;	1X5S;5TBX;
Q14012	reviewed	KCC1A_HUMAN	Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha)	CAMK1	Homo sapiens (Human)	370	1.10.510.10;	4FG7;4FG8;4FG9;4FGB;
Q14019	reviewed	COTL1_HUMAN	Coactosin-like protein	COTL1 CLP	Homo sapiens (Human)	142	3.40.20.10;	1T2L;1T3X;1T3Y;1TMW;1VFQ;1WNJ;
Q14028	reviewed	CNGB1_HUMAN	Cyclic nucleotide-gated cation channel beta-1 (Cyclic nucleotide-gated cation channel 4) (CNG channel 4) (CNG-4) (CNG4) (Cyclic nucleotide-gated cation channel gamma) (Cyclic nucleotide-gated cation channel modulatory subunit) (Cyclic nucleotide-gated channel beta-1) (CNG channel beta-1) (Glutamic acid-rich protein) (GARP)	CNGB1 CNCG2 CNCG3L CNCG4 RCNC2	Homo sapiens (Human)	1251	1.10.287.70;1.10.287.630;2.60.120.10;	7RH9;7RHG;7RHH;7RHI;7RHJ;7RHK;7RHL;8DGH;8DGK;
Q14031	reviewed	CO4A6_HUMAN	Collagen alpha-6(IV) chain	COL4A6	Homo sapiens (Human)	1691	2.170.240.10;	
Q14032	reviewed	BAAT_HUMAN	Bile acid-CoA:amino acid N-acyltransferase (BACAT) (BAT) (EC 2.3.1.65) (Bile acid-CoA thioesterase) (Choloyl-CoA hydrolase) (EC 3.1.2.27) (Glycine N-choloyltransferase) (Long-chain fatty-acyl-CoA hydrolase) (EC 3.1.2.2)	BAAT	Homo sapiens (Human)	418	2.60.40.2240;3.40.50.1820;	
Q14061	reviewed	COX17_HUMAN	Cytochrome c oxidase copper chaperone	COX17	Homo sapiens (Human)	63	1.10.287.1130;	2L0Y;2LGQ;2RN9;2RNB;
Q14088	reviewed	RB33A_HUMAN	Ras-related protein Rab-33A (Small GTP-binding protein S10)	RAB33A RABS10	Homo sapiens (Human)	237	3.40.50.300;	
Q14103	reviewed	HNRPD_HUMAN	Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1)	HNRNPD AUF1 HNRPD	Homo sapiens (Human)	355	3.30.70.330;	1HD0;1HD1;1IQT;1WTB;1X0F;2Z5N;5IM0;
Q14106	reviewed	TOB2_HUMAN	Protein Tob2 (Protein Tob4) (Transducer of erbB-2 2)	TOB2 KIAA1663 TOB4 TROB2	Homo sapiens (Human)	344	3.90.640.90;	
Q14112	reviewed	NID2_HUMAN	Nidogen-2 (NID-2) (Osteonidogen)	NID2	Homo sapiens (Human)	1375	2.40.155.10;2.10.25.10;4.10.800.10;2.120.10.30;	
Q14114	reviewed	LRP8_HUMAN	Low-density lipoprotein receptor-related protein 8 (LRP-8) (Apolipoprotein E receptor 2)	LRP8 APOER2	Homo sapiens (Human)	963	2.10.25.10;4.10.400.10;2.120.10.30;	3A7Q;5B4X;5B4Y;7UCX;
Q14116	reviewed	IL18_HUMAN	Interleukin-18 (IL-18) (Iboctadekin) (Interferon gamma-inducing factor) (IFN-gamma-inducing factor) (Interleukin-1 gamma) (IL-1 gamma)	IL18 IGIF IL1F4	Homo sapiens (Human)	193	2.80.10.50;	1J0S;2VXT;3F62;3WO2;3WO3;3WO4;4EEE;4EKX;4HJJ;4R6U;4XFS;4XFT;4XFU;7AL7;8J6K;8SPB;
Q14117	reviewed	DPYS_HUMAN	Dihydropyrimidinase (DHP) (DHPase) (EC 3.5.2.2) (Dihydropyrimidine amidohydrolase) (Hydantoinase)	DPYS	Homo sapiens (Human)	519	3.20.20.140;2.30.40.10;	2VR2;
Q14118	reviewed	DAG1_HUMAN	Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	DAG1	Homo sapiens (Human)	895	3.30.70.1040;2.60.40.10;	1EG4;2MK7;5GGP;5LLK;6JJY;7E9K;7E9L;
Q14119	reviewed	VEZF1_HUMAN	Vascular endothelial zinc finger 1 (Putative transcription factor DB1) (Zinc finger protein 161)	VEZF1 DB1 ZNF161	Homo sapiens (Human)	521	3.30.160.60;	
Q14123	reviewed	PDE1C_HUMAN	Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C (Cam-PDE 1C) (EC 3.1.4.17) (Hcam3)	PDE1C	Homo sapiens (Human)	709	1.10.1300.10;	
Q14126	reviewed	DSG2_HUMAN	Desmoglein-2 (Cadherin family member 5) (HDGC)	DSG2 CDHF5	Homo sapiens (Human)	1118	2.60.40.60;4.10.900.10;	2YQG;5ERD;5J5J;6QNT;6QNU;6SIT;7A7D;7AGF;7AGG;8QJX;8QJY;8QK3;
Q14134	reviewed	TRI29_HUMAN	Tripartite motif-containing protein 29 (Ataxia telangiectasia group D-associated protein)	TRIM29 ATDC	Homo sapiens (Human)	588	4.10.830.40;3.30.160.60;	2CSV;
Q14137	reviewed	BOP1_HUMAN	Ribosome biogenesis protein BOP1 (Block of proliferation 1 protein)	BOP1 KIAA0124	Homo sapiens (Human)	746	2.130.10.10;	8FKP;8FKQ;8FKR;8FKS;8FKT;8FKU;8FKV;8FKW;8FKX;8FKY;
Q14139	reviewed	UBE4A_HUMAN	Ubiquitin conjugation factor E4 A (EC 2.3.2.27) (RING-type E3 ubiquitin transferase E4 A)	UBE4A KIAA0126	Homo sapiens (Human)	1066	3.30.40.10;	1WGM;
Q14141	reviewed	SEPT6_HUMAN	Septin-6	SEPTIN6 KIAA0128 SEP2 SEPT6	Homo sapiens (Human)	434	3.40.50.300;	2QAG;6UPA;6WBP;7M6J;
Q14142	reviewed	TRI14_HUMAN	Tripartite motif-containing protein 14	TRIM14 KIAA0129	Homo sapiens (Human)	442	2.60.120.920;3.30.160.60;	6JBM;
Q14145	reviewed	KEAP1_HUMAN	Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19)	KEAP1 INRF2 KIAA0132 KLHL19	Homo sapiens (Human)	624	1.25.40.420;2.120.10.80;	1U6D;1ZGK;2FLU;3VNG;3VNH;3ZGC;3ZGD;4CXI;4CXJ;4CXT;4IFJ;4IFL;4IFN;4IN4;4IQK;4L7B;4L7C;4L7D;4N1B;4XMB;5DAD;5DAF;5F72;5GIT;5NLB;5WFL;5WFV;5WG1;5WHL;5WHO;5WIY;5X54;6FFM;6FMP;6FMQ;6HWS;6LRZ;6ROG;6SP1;6SP4;6T7V;6T7Z;6TG8;6TYM;6TYP;6UF0;6V6Z;6W66;6W67;6W68;6W69;6WCQ;6Z6A;7EXI;7K28;7K29;7K2A;7K2B;7K2C;7K2D;7K2E;7K2F;7K2G;7K2H;7K2I;7K2J;7K2K;7K2L;7K2M;7K2N;7K2O;7K2P;7K2Q;7K2R;7K2S;7Q5H;7Q6Q;7Q6S;7Q8R;7Q96;7X4W;7X4X;7XM2;7XM3;7XM4;7XM5;7XOT;8EHV;8EJR;8EJS;8IVG;8IVR;8IXS;8PKU;8PKV;8PKW;8PKX;8WFG;8X34;
Q14147	reviewed	DHX34_HUMAN	Probable ATP-dependent RNA helicase DHX34 (EC 3.6.4.13) (DEAH box protein 34) (DExH-box helicase 34)	DHX34 DDX34 KIAA0134	Homo sapiens (Human)	1143	1.20.120.1080;3.40.50.300;	
Q14149	reviewed	MORC3_HUMAN	MORC family CW-type zinc finger protein 3 (Nuclear matrix protein 2) (Zinc finger CW-type coiled-coil domain protein 3)	MORC3 KIAA0136 NXP2 ZCWCC3	Homo sapiens (Human)	939	3.30.40.100;3.30.565.10;	4QQ4;5SVI;5SVX;5SVY;6O1E;6O5W;
Q14151	reviewed	SAFB2_HUMAN	Scaffold attachment factor B2 (SAF-B2)	SAFB2 KIAA0138	Homo sapiens (Human)	953	3.30.70.330;1.10.720.30;	
Q14152	reviewed	EIF3A_HUMAN	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185)	EIF3A EIF3S10 KIAA0139	Homo sapiens (Human)	1382	1.25.40.860;4.10.860.10;	3J8B;3J8C;6YBD;6YBT;6ZMW;6ZON;6ZP4;6ZVJ;7A09;7QP6;7QP7;8PPL;
Q14154	reviewed	DELE1_HUMAN	DAP3-binding cell death enhancer 1 (DAP3-binding cell death enhancer 1, long form) (DELE1(L)) (Death ligand signal enhancer) [Cleaved into: DAP3-binding cell death enhancer 1 short form (DELE1(S)) (S-DELE1)]	DELE1 DELE KIAA0141	Homo sapiens (Human)	515	1.25.40.10;	8D9X;
Q14155	reviewed	ARHG7_HUMAN	Rho guanine nucleotide exchange factor 7 (Beta-Pix) (COOL-1) (PAK-interacting exchange factor beta) (p85)	ARHGEF7 COOL1 KIAA0142 P85SPR PAK3BP PIXB Nbla10314	Homo sapiens (Human)	803	1.10.418.10;1.20.900.10;2.30.29.30;2.30.30.40;	1BY1;1ZSG;2L3G;5SXP;
Q14157	reviewed	UBP2L_HUMAN	Ubiquitin-associated protein 2-like (Protein NICE-4) (RNA polymerase II degradation factor UBAP2L)	UBAP2L KIAA0144 NICE4	Homo sapiens (Human)	1087	1.10.8.10;	
Q14160	reviewed	SCRIB_HUMAN	Protein scribble homolog (Scribble) (hScrib) (Protein LAP4)	SCRIB CRIB1 KIAA0147 LAP4 SCRB1 VARTUL	Homo sapiens (Human)	1630	2.30.42.10;3.80.10.10;	1UJU;1WHA;1X5Q;2W4F;4WYT;4WYU;5VWC;5VWI;5VWK;6EEY;6ESP;6MS1;6MTU;6MTV;6MYE;6MYF;6XA6;6XA7;6XA8;7JO7;7QRS;7QRT;7QS8;7QS9;7QSA;7QSB;7QTO;7QTP;7QTU;8B82;8B87;8B8O;8B9T;8BIA;8BJ0;
Q14161	reviewed	GIT2_HUMAN	ARF GTPase-activating protein GIT2 (ARF GAP GIT2) (Cool-interacting tyrosine-phosphorylated protein 2) (CAT-2) (CAT2) (G protein-coupled receptor kinase-interactor 2) (GRK-interacting protein 2)	GIT2 KIAA0148	Homo sapiens (Human)	759	1.20.5.170;1.25.40.20;1.10.220.150;1.20.120.330;	
Q14162	reviewed	SREC_HUMAN	Scavenger receptor class F member 1 (Acetyl LDL receptor) (Scavenger receptor expressed by endothelial cells 1) (SREC-I)	SCARF1 KIAA0149 SREC	Homo sapiens (Human)	830	2.10.25.10;2.170.300.10;	
Q14164	reviewed	IKKE_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE) (EC 2.7.11.10) (Inducible I kappa-B kinase) (IKK-i)	IKBKE IKKE IKKI KIAA0151	Homo sapiens (Human)	716	1.20.1270.420;1.10.510.10;	
Q14165	reviewed	MLEC_HUMAN	Malectin	MLEC KIAA0152	Homo sapiens (Human)	292	2.60.120.430;	6S7T;
Q14166	reviewed	TTL12_HUMAN	Tubulin--tyrosine ligase-like protein 12 (Inactive tubulin--tyrosine ligase-like protein 12)	TTLL12 KIAA0153	Homo sapiens (Human)	644	3.30.470.20;	
Q14168	reviewed	MPP2_HUMAN	MAGUK p55 subfamily member 2 (Discs large homolog 2) (Protein MPP2)	MPP2 DLG2	Homo sapiens (Human)	576	2.30.42.10;1.10.287.650;3.40.50.300;2.30.30.40;	2E7K;
Q14181	reviewed	DPOA2_HUMAN	DNA polymerase alpha subunit B (DNA polymerase alpha 70 kDa subunit)	POLA2	Homo sapiens (Human)	598	3.60.21.60;1.10.8.530;	2KEB;4E2I;4Y97;5EXR;7OPL;7U5C;8B9D;8D0B;8D0K;8D9D;
Q14183	reviewed	DOC2A_HUMAN	Double C2-like domain-containing protein alpha (Doc2) (Doc2-alpha)	DOC2A	Homo sapiens (Human)	400	2.60.40.150;	4MJJ;
Q14184	reviewed	DOC2B_HUMAN	Double C2-like domain-containing protein beta (Doc2-beta)	DOC2B DOC2BL	Homo sapiens (Human)	412	2.60.40.150;	
Q14185	reviewed	DOCK1_HUMAN	Dedicator of cytokinesis protein 1 (180 kDa protein downstream of CRK) (DOCK180)	DOCK1	Homo sapiens (Human)	1865	1.20.58.740;1.25.40.410;2.60.40.150;1.20.1270.350;2.30.30.40;	3L4C;
Q14186	reviewed	TFDP1_HUMAN	Transcription factor Dp-1 (DRTF1-polypeptide 1) (DRTF1) (E2F dimerization partner 1)	TFDP1 DP1	Homo sapiens (Human)	410	1.20.140.80;1.10.10.10;	2AZE;5GOW;5TUU;5TUV;
Q14188	reviewed	TFDP2_HUMAN	Transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2 DP2	Homo sapiens (Human)	446	1.20.140.80;1.10.10.10;	1CF7;
Q14190	reviewed	SIM2_HUMAN	Single-minded homolog 2 (Class E basic helix-loop-helix protein 15) (bHLHe15)	SIM2 BHLHE15	Homo sapiens (Human)	667	4.10.280.10;3.30.450.20;	
Q14191	reviewed	WRN_HUMAN	Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN (DNA helicase, RecQ-like type 3) (RecQ protein-like 2) (Werner syndrome protein) [Includes: 3'-5' exonuclease (EC 3.1.-.-); ATP-dependent helicase (EC 5.6.2.4) (DNA 3'-5' helicase WRN)]	WRN RECQ3 RECQL2	Homo sapiens (Human)	1432	1.10.150.80;3.40.50.300;3.30.420.10;1.10.10.10;	2AXL;2DGZ;2E1E;2E1F;2FBT;2FBV;2FBX;2FBY;2FC0;3AAF;6TYV;6YHR;7XUT;
Q14192	reviewed	FHL2_HUMAN	Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3)	FHL2 DRAL SLIM3	Homo sapiens (Human)	279	2.10.110.10;	1X4K;1X4L;2D8Z;2MIU;
Q14194	reviewed	DPYL1_HUMAN	Dihydropyrimidinase-related protein 1 (DRP-1) (Collapsin response mediator protein 1) (CRMP-1) (Inactive dihydropyrimidinase) (Unc-33-like phosphoprotein 3) (ULIP-3)	CRMP1 DPYSL1 ULIP3	Homo sapiens (Human)	572	3.20.20.140;2.30.40.10;	4B3Z;
Q14195	reviewed	DPYL3_HUMAN	Dihydropyrimidinase-related protein 3 (DRP-3) (Collapsin response mediator protein 4) (CRMP-4) (Unc-33-like phosphoprotein 1) (ULIP-1)	DPYSL3 CRMP4 DRP3 ULIP ULIP1	Homo sapiens (Human)	570	3.20.20.140;2.30.40.10;	4BKN;4CNS;4CNT;4CNU;
Q14197	reviewed	ICT1_HUMAN	Large ribosomal subunit protein mL62 (39S ribosomal protein L58, mitochondrial) (MRP-L58) (Digestion substraction 1) (DS-1) (Immature colon carcinoma transcript 1 protein) (Peptidyl-tRNA hydrolase ICT1, mitochondrial) (EC 3.1.1.29)	MRPL58 DS1 ICT1	Homo sapiens (Human)	206	3.30.160.20;	3J7Y;3J9M;5OOL;5OOM;6I9R;6NU2;6NU3;6VLZ;6VMI;6ZM5;6ZM6;6ZS9;6ZSA;6ZSB;6ZSC;6ZSD;6ZSE;6ZSG;7A5F;7A5G;7A5H;7A5I;7A5J;7A5K;7L08;7L20;7NQL;7O9K;7O9M;7ODR;7ODS;7ODT;7OF0;7OF2;7OF3;7OF4;7OF5;7OF6;7OF7;7OG4;7OI6;7OI7;7OI8;7OI9;7OIA;7OIB;7OIC;7OID;7OIE;7PD3;7PO4;7QH6;7QH7;7QI4;7QI5;7QI6;8ANY;8OIR;8OIT;
Q14203	reviewed	DCTN1_HUMAN	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p135) (p150-glued)	DCTN1	Homo sapiens (Human)	1278	1.10.287.1490;2.30.30.190;	1TXQ;2COY;2HKN;2HKQ;2HL3;2HL5;2HQH;3E2U;3TQ7;
Q14204	reviewed	DYHC1_HUMAN	Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)	DYNC1H1 DHC1 DNCH1 DNCL DNECL DYHC KIAA0325	Homo sapiens (Human)	4646	1.10.287.2620;1.10.472.130;1.10.8.1220;1.10.8.710;1.20.1270.280;1.20.58.1120;1.20.920.20;1.20.920.30;1.20.920.60;3.10.490.20;6.10.140.1060;1.20.140.100;3.20.180.20;3.40.50.300;1.10.8.720;	5NUG;5OWO;6F1T;6F1U;6F1V;6F1Y;6F38;6F3A;7Z8F;7Z8G;7Z8H;7Z8I;7Z8J;7Z8K;7Z8L;8DYU;8DYV;8FCY;8FD6;8FDT;8FDU;
Q14209	reviewed	E2F2_HUMAN	Transcription factor E2F2 (E2F-2)	E2F2	Homo sapiens (Human)	437	6.10.250.540;1.10.10.10;	1N4M;
Q14210	reviewed	LY6D_HUMAN	Lymphocyte antigen 6D (Ly-6D) (E48 antigen)	LY6D E48	Homo sapiens (Human)	128	2.10.60.10;	
Q14213	reviewed	IL27B_HUMAN	Interleukin-27 subunit beta (IL-27 subunit beta) (IL-27B) (Epstein-Barr virus-induced gene 3 protein) (EBV-induced gene 3 protein)	EBI3 IL27B	Homo sapiens (Human)	229	2.60.40.10;	7U7N;7ZXK;8D85;
Q14232	reviewed	EI2BA_HUMAN	Translation initiation factor eIF2B subunit alpha (eIF2B GDP-GTP exchange factor subunit alpha)	EIF2B1 EIF2BA	Homo sapiens (Human)	305	1.20.120.1070;	3ECS;6CAJ;6EZO;6K71;6K72;6O81;6O85;6O9Z;7D43;7D44;7D45;7D46;7F64;7F66;7F67;7KMA;7KMF;7L70;7L7G;7RLO;7TRJ;7VLK;8TQZ;
Q14240	reviewed	IF4A2_HUMAN	Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)	EIF4A2 DDX2B EIF4F	Homo sapiens (Human)	407	3.40.50.300;	3BOR;
Q14241	reviewed	ELOA1_HUMAN	Elongin-A (EloA) (Elongin 110 kDa subunit) (RNA polymerase II transcription factor SIII subunit A1) (SIII p110) (Transcription elongation factor B polypeptide 3)	ELOA TCEB3 MSTP059	Homo sapiens (Human)	772	6.10.250.3180;1.20.930.10;	4HFX;6ZUZ;8OEV;8OEW;8OF0;
Q14246	reviewed	AGRE1_HUMAN	Adhesion G protein-coupled receptor E1 (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor)	ADGRE1 EMR1 TM7LN3	Homo sapiens (Human)	886	2.60.220.50;2.10.25.10;1.20.1070.10;	
Q14247	reviewed	SRC8_HUMAN	Src substrate cortactin (Amplaxin) (Oncogene EMS1)	CTTN EMS1	Homo sapiens (Human)	550	2.30.30.40;	1X69;2D1X;
Q14249	reviewed	NUCG_HUMAN	Endonuclease G, mitochondrial (Endo G) (EC 3.1.30.-)	ENDOG	Homo sapiens (Human)	297	3.40.570.10;	
Q14254	reviewed	FLOT2_HUMAN	Flotillin-2 (Epidermal surface antigen) (ESA) (Membrane component chromosome 17 surface marker 1)	FLOT2 ESA1 M17S1	Homo sapiens (Human)	428	3.30.479.30;	
Q14257	reviewed	RCN2_HUMAN	Reticulocalbin-2 (Calcium-binding protein ERC-55) (E6-binding protein) (E6BP)	RCN2 ERC55	Homo sapiens (Human)	317	1.10.238.10;	
Q14258	reviewed	TRI25_HUMAN	E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147)	TRIM25 EFP RNF147 ZNF147	Homo sapiens (Human)	630	2.60.120.920;4.10.830.40;3.30.160.60;3.30.40.10;	4CFG;4LTB;5EYA;5FER;5NT1;5NT2;6FLM;6FLN;
Q14264	reviewed	ENR1_HUMAN	Endogenous retrovirus group 3 member 1 Env polyprotein (ERV-3 envelope protein) (ERV3 envelope protein) (ERV3-1 envelope protein) (Envelope polyprotein) (HERV-R envelope protein) (ERV-R envelope protein) (HERV-R_7q21.2 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]	ERV3-1 ERV3	Homo sapiens (Human)	604	1.10.287.210;	
Q14289	reviewed	FAK2_HUMAN	Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK)	PTK2B FAK2 PYK2 RAFTK	Homo sapiens (Human)	1009	1.20.80.10;1.20.120.330;2.30.29.30;1.10.510.10;	2LK4;3CC6;3ET7;3FZO;3FZP;3FZR;3FZS;3FZT;3GM1;3GM2;3GM3;3H3C;3U3F;4EKU;4H1J;4H1M;4R32;4XEF;4XEK;4XEV;5TO8;5TOB;6LF3;7PLL;
Q14314	reviewed	FGL2_HUMAN	Fibroleukin (Fibrinogen-like protein 2) (pT49)	FGL2	Homo sapiens (Human)	439	3.90.215.10;	
Q14315	reviewed	FLNC_HUMAN	Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)	FLNC ABPL FLN2	Homo sapiens (Human)	2725	1.10.418.10;2.60.40.10;	1V05;2D7M;2D7N;2D7O;2D7P;2D7Q;2K9U;2NQC;3V8O;4MGX;7OUU;7OUV;7P0E;
Q14318	reviewed	FKBP8_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase)	FKBP8 FKBP38	Homo sapiens (Human)	412	3.10.50.40;1.25.40.10;	2AWG;2D9F;2F2D;2MF9;3EY6;5MGX;
Q14330	reviewed	GPR18_HUMAN	N-arachidonyl glycine receptor (NAGly receptor) (G-protein coupled receptor 18)	GPR18 GPCRW	Homo sapiens (Human)	331	1.20.1070.10;	
Q14331	reviewed	FRG1_HUMAN	Protein FRG1 (FSHD region gene 1 protein)	FRG1	Homo sapiens (Human)	258	2.80.10.50;	6ZYM;7A5P;
Q14332	reviewed	FZD2_HUMAN	Frizzled-2 (Fz-2) (hFz2) (FzE2)	FZD2	Homo sapiens (Human)	565	1.10.2000.10;1.20.1070.10;	6C0B;7N95;7N97;7N9S;7X8P;
Q14344	reviewed	GNA13_HUMAN	Guanine nucleotide-binding protein subunit alpha-13 (G alpha-13) (G-protein subunit alpha-13)	GNA13	Homo sapiens (Human)	377	1.10.400.10;3.40.50.300;	7SF7;7SF8;7T6B;7YDH;8H8J;
Q14353	reviewed	GAMT_HUMAN	Guanidinoacetate N-methyltransferase (EC 2.1.1.2)	GAMT	Homo sapiens (Human)	236	3.40.50.150;	3ORH;
Q14376	reviewed	GALE_HUMAN	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-N-acetylgalactosamine 4-epimerase) (UDP-GalNAc 4-epimerase) (UDP-N-acetylglucosamine 4-epimerase) (UDP-GlcNAc 4-epimerase) (EC 5.1.3.7) (UDP-galactose 4-epimerase)	GALE	Homo sapiens (Human)	348	3.40.50.720;3.90.25.10;	1EK5;1EK6;1HZJ;1I3K;1I3L;1I3M;1I3N;
Q14392	reviewed	LRC32_HUMAN	Transforming growth factor beta activator LRRC32 (Garpin) (Glycoprotein A repetitions predominant) (GARP) (Leucine-rich repeat-containing protein 32)	LRRC32 D11S833E	Homo sapiens (Human)	662	3.80.10.10;	6GFF;8C7H;
Q14393	reviewed	GAS6_HUMAN	Growth arrest-specific protein 6 (GAS-6) (AXL receptor tyrosine kinase ligand)	GAS6 AXLLG	Homo sapiens (Human)	678	2.60.120.200;4.10.740.10;2.10.25.10;	1H30;2C5D;4RA0;5VXZ;
Q14397	reviewed	GCKR_HUMAN	Glucokinase regulatory protein (GKRP) (Glucokinase regulator)	GCKR	Homo sapiens (Human)	625	1.10.8.1080;3.40.50.12620;	4BB9;4BBA;4LY9;4MQU;4MRO;4MSU;4OHK;4OHM;4OHO;4OHP;4OLH;4OP1;4OP2;4OP3;4PX2;4PX3;4PX5;4PXS;
Q14406	reviewed	CSHL_HUMAN	Chorionic somatomammotropin hormone-like 1 (Chorionic somatomammotropin-like) (Lactogen-like)	CSHL1 CSHP1 CSL	Homo sapiens (Human)	222	1.20.1250.10;	
